ccaa,year,sitting,phase,[0-5),[5-6),[6-7),[7-8),[8-9),[9-10]
Galicia,2016,extraordinary,specific,84.56,7.35,3.31,1.84,2.21,0.74
Galicia,2016,ordinary,general,41.08,15.61,14.01,14.33,6.37,8.6
Galicia,2016,ordinary,specific,51.9,12.64,10.75,9.43,8.28,7.01
Galicia,2017,extraordinary,specific,58.04,17.48,8.39,8.39,3.85,3.85
Galicia,2017,ordinary,specific,46.3,14.32,10.41,9.3,8.72,10.94
Galicia,2018,extraordinary,specific,69.77,12.56,6.05,6.51,2.79,2.33
Galicia,2018,ordinary,specific,43.18,16.1,10.83,11.69,9.38,8.83
Galicia,2019,extraordinary,specific,75.28,11.44,4.43,2.58,3.69,2.58
Galicia,2019,ordinary,specific,39.34,17.4,11.64,12.15,11.75,7.72
Galicia,2020,extraordinary,specific,50.52,18.56,6.19,10.31,9.28,5.15
Galicia,2020,ordinary,specific,46.74,12.38,11.52,11.12,9.75,8.49
